Category Name,2nd Category,3rd Category,brand,Manufacture pin,Product Name,stock,description,Retail price inc GST, url, Image Url
Computer Systems,Computer Components,CPU / Processor,Intel,75265,INTEL CORE I3 8100 4 Cores 4 Threads 3.60 GHZ 6M Cache LGA 1151 PROCESSOR,with In Stock,INTEL CORE I3 8100 4 Cores 4 Threads 3.60 GHZ 6M Cache LGA 1151 PROCESSOR,213.7900,http://www.citywidetech.co.nz/p.aspx?65070,
Computer Systems,Computer Peripherals,Cable,Alogic,73844,ALOGIC 0.5m Blue CAT5e network Cable,with In Stock,ALOGIC 0.5m Blue CAT5e network Cable,1.2000,http://www.citywidetech.co.nz/p.aspx?65071,
Computer Systems,Computer Peripherals,Cable,Alogic,73846,ALOGIC 2m Blue CAT5e network Cable,with In Stock,ALOGIC 2m Blue CAT5e network Cable,2.3900,http://www.citywidetech.co.nz/p.aspx?65072,
Computer Systems,Computer Peripherals,Cable,Alogic,73852,ALOGIC 0.3m Blue CAT6 network Cable,with In Stock,ALOGIC 0.3m Blue CAT6 network Cable,1.6800,http://www.citywidetech.co.nz/p.aspx?65073,
Computer Systems,Computer Components,Cases,Corsair,72817,CORSAIR 100R WINDOW SIDE PANEL,with In Stock,CORSAIR 100R WINDOW SIDE PANEL,18.9800,http://www.citywidetech.co.nz/p.aspx?65074,
Computer Systems,Computer Components,Cases,Corsair,66445,CORSAIR OBSIDIAN SERIES 550D MID-TOWER SILENT CASE BLACK,with In Stock,CORSAIR OBSIDIAN SERIES 550D MID-TOWER SILENT CASE BLACK,261.8600,http://www.citywidetech.co.nz/p.aspx?65075,
Computer Systems,Computer Components,Cases,Corsair,66424,CORSAIR CARBIDE SERIES SPEC-01 MID TOWER CASE RED LED - WINDOWED,Out of stock,CORSAIR CARBIDE SERIES SPEC-01 MID TOWER CASE RED LED - WINDOWED,105.0000,http://www.citywidetech.co.nz/p.aspx?65076,
Computer Systems,Computer Components,Cases,Corsair,66408,CORSAIR CARBIDE SERIES 100R MID-TOWER CASE - SILENT EDITION,with In Stock,CORSAIR CARBIDE SERIES 100R MID-TOWER CASE - SILENT EDITION,115.1200,http://www.citywidetech.co.nz/p.aspx?65077,
Computer Systems,Computer Components,Cases,Corsair,70913,CORSAIR CARBIDE SERIES CLEAR 400C MID-TOWER CASE - WINDOWED,with In Stock,CORSAIR CARBIDE SERIES CLEAR 400C MID-TOWER CASE - WINDOWED,177.1000,http://www.citywidetech.co.nz/p.aspx?65078,
Computer Systems,Computer Components,Cases,Corsair,70916,CORSAIR CARBIDE SERIES SPEC-ALPHA MID-TOWER GAMING CASE -WHITE & RED,with In Stock,CORSAIR CARBIDE SERIES SPEC-ALPHA MID-TOWER GAMING CASE -WHITE & RED,135.3600,http://www.citywidetech.co.nz/p.aspx?65079,
Network,,Networking - Router,Dlink,72000,D-LINK DWR-921 4G LTE Router with Standard-size SIM Card Slot,with In Stock,D-LINK DWR-921 4G LTE Router with Standard-size SIM Card Slot,271.2200,http://www.citywidetech.co.nz/p.aspx?65080,
Network,,Networking - Router,Dlink,66597,D-LINK DWR-925 4G LTE VPN ROUTER WITH SIM CARD SLOT,with In Stock,D-LINK DWR-925 4G LTE VPN ROUTER WITH SIM CARD SLOT,679.4900,http://www.citywidetech.co.nz/p.aspx?65081,
Computer Systems,Portable Computers,Notebook,Acer,72692,ACER ASPIRE E5-774G-743D NOTEBOOK 17.3 FHD CORE I7-7500U DUAL CORE 2.5GHZ 8GB RAM 1TB HDD DVDRW GEFORCE 940MX 2GB WIRELESS-AC BT WIN10 64-BIT,with In Stock,ACER ASPIRE E5-774G-743D NOTEBOOK 17.3 FHD CORE I7-7500U DUAL CORE 2.5GHZ 8GB RAM 1TB HDD DVDRW GEFORCE 940MX 2GB WIRELESS-AC BT WIN10 64-BIT,1453.4900,http://www.citywidetech.co.nz/p.aspx?65082,
Computer Systems,Computer Components,NAS,Netgear,65065,NETGEAR EDA4000 READYDATA 5200 4U EXPANSION CHASSIS (24-BAY  DISKLESS),with In Stock,NETGEAR EDA4000 READYDATA 5200 4U EXPANSION CHASSIS (24-BAY  DISKLESS),4952.0800,http://www.citywidetech.co.nz/p.aspx?65083,
Computer Systems,Computer Peripherals,UPS,Eaton,60065,EATON E SERIES DX TOWER UPS 10000VA / 7000W WITHOUT INTERNAL BATTERY 3 PHASE,with In Stock,EATON E SERIES DX TOWER UPS 10000VA / 7000W WITHOUT INTERNAL BATTERY 3 PHASE,5003.6100,http://www.citywidetech.co.nz/p.aspx?65084,
Computer Systems,Computer Peripherals,UPS,Eaton,59359,EATON E SERIES DX TOWER UPS 2000VA / 1400W,with In Stock,EATON E SERIES DX TOWER UPS 2000VA / 1400W,1830.1400,http://www.citywidetech.co.nz/p.aspx?65085,
Computer Systems,Computer Peripherals,UPS,Eaton,60067,EATON E SERIES DX TOWER UPS 20000VA / 14000W WITHOUT INTERNAL BATTERY 3 PHASE,with In Stock,EATON E SERIES DX TOWER UPS 20000VA / 14000W WITHOUT INTERNAL BATTERY 3 PHASE,8004.1700,http://www.citywidetech.co.nz/p.aspx?65086,
Computer Systems,Computer Peripherals,UPS,Eaton,60062,EATON E SERIES DX TOWER UPS 6000VA / 4200W WITHOUT INTERNAL BATTERY,with In Stock,EATON E SERIES DX TOWER UPS 6000VA / 4200W WITHOUT INTERNAL BATTERY,3271.8500,http://www.citywidetech.co.nz/p.aspx?65087,
Computer Systems,Computer Components,Power Supplies,FSP,65941,FSP 400W 60HCN ATX 12V DESKTOP OEM PSU (NO POWER CABLES) WITH 2 YEARS WARRANTY,Out of stock,FSP 400W 60HCN ATX 12V DESKTOP OEM PSU (NO POWER CABLES) WITH 2 YEARS WARRANTY,45.5400,http://www.citywidetech.co.nz/p.aspx?65088,
Computer Systems,Portable Computers,Notebook,Getac,73195,GETAC V110G3 PREMIUM Intel Core i7-6500U / 11.6" / 8GBRAM / Multi-touch TS / 256GB SSD / Win 10 Pro 64bit / 3 Years Warranty,with In Stock,GETAC V110G3 PREMIUM Intel Core i7-6500U / 11.6" / 8GBRAM / Multi-touch TS / 256GB SSD / Win 10 Pro 64bit / 3 Years Warranty,6589.3900,http://www.citywidetech.co.nz/p.aspx?65089,
Computer Systems,Computer Peripherals,Mouse,Rapoo,65975,RAPOO V20 OPTICAL GAMING MOUSE UP TO 3000DPI LIGHTING BLACK,Out of stock,RAPOO V20 OPTICAL GAMING MOUSE UP TO 3000DPI LIGHTING BLACK,35.4200,http://www.citywidetech.co.nz/p.aspx?65090,
Displays,,Monitor,Acer,72924,ACER V246HLVBMIP 24 WIDE LED MONITOR 1920X1080 16:9 100000000:1 5MS D-SUB HDMI DISPLAYPORT SPEAKERS 3 YEAR WARRANTY - DP CABLE INCLUDED,with In Stock,ACER V246HLVBMIP 24 WIDE LED MONITOR 1920X1080 16:9 100000000:1 5MS D-SUB HDMI DISPLAYPORT SPEAKERS 3 YEAR WARRANTY - DP CABLE INCLUDED,199.0000,http://www.citywidetech.co.nz/p.aspx?65091,
Displays,,Monitor,Asus,71187,ASUS VC239H 23" WIDE IPS LED 1920X1080 16:9 80000000:1 5ms HDMI DVI-D D-SUB SPEAKER 3 YEARS PIXEL PERFECT MONITOR,with In Stock,ASUS VC239H 23" WIDE IPS LED 1920X1080 16:9 80000000:1 5ms HDMI DVI-D D-SUB SPEAKER 3 YEARS PIXEL PERFECT MONITOR,253.0000,http://www.citywidetech.co.nz/p.aspx?65092,
Computer Systems,Portable Computers,Notebook Accessory,Alogic,74059,VROVA 2 Port USBA Car Charger 5V/4.8A (2.4A + 2.4A) with Smart Charge  Black,with In Stock,VROVA 2 Port USBA Car Charger 5V/4.8A (2.4A + 2.4A) with Smart Charge  Black,10.0100,http://www.citywidetech.co.nz/p.aspx?65093,
